NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
California,39538223,15579652
"Acalanes Ridge CDP, California",1285,107
"Acampo CDP, California",334,191
"Acton CDP, California",7431,2076
"Adelanto city, California",38046,24158
"Adin CDP, California",205,10
"Agoura Hills city, California",20299,2319
"Agua Dulce CDP, California",3451,868
"Aguanga CDP, California",989,210
"Ahwahnee CDP, California",2296,262
"Airport CDP, California",1389,976
"Alameda city, California",78280,9435
"Alamo CDP, California",15314,1115
"Albany city, California",20271,2665
"Albion CDP, California",153,6
"Alderpoint CDP, California",137,22
"Alhambra city, California",82868,29910
"Alhambra Valley CDP, California",805,100
"Aliso Viejo city, California",52176,9836
"Alleghany CDP, California",30,2
"Allendale CDP, California",1651,285
"Allensworth CDP, California",531,494
"Almanor CDP, California",3,2
"Alondra Park CDP, California",8569,4204
"Alpaugh CDP, California",871,768
"Alpine CDP, California",14696,2688
"Alpine Village CDP, California",224,20
"Alta CDP, California",615,39
"Altadena CDP, California",42846,12171
"Alta Sierra CDP (Kern County), California",103,11
"Alta Sierra CDP (Nevada County), California",7204,576
"Alto CDP, California",732,57
"Alturas city, California",2715,415
"Alum Rock CDP, California",12042,8077
"Amador City city, California",200,21
"Amador Pines CDP, California",1118,91
"American Canyon city, California",21837,6705
"Amesti CDP, California",2637,1564
"Anaheim city, California",346824,186651
"Anchor Bay CDP, California",473,36
"Anderson city, California",11323,1587
"Angels city, California",3667,459
"Angwin CDP, California",2633,721
"Antelope CDP, California",48733,8389
"Antioch city, California",115291,41965
"Anza CDP, California",3075,931
"Apple Valley town, California",75791,28989
"Aptos CDP, California",6664,1063
"Aptos Hills-Larkin Valley CDP, California",2383,546
"Arbuckle CDP, California",3484,2560
"Arcadia city, California",56681,7401
"Arcata city, California",18857,3739
"Arden-Arcade CDP, California",94659,18521
"Armona CDP, California",4274,3176
"Arnold CDP, California",3288,291
"Aromas CDP, California",2708,1105
"Arroyo Grande city, California",18441,3646
"Artesia city, California",16395,5825
"Artois CDP, California",295,98
"Arvin city, California",19495,18317
"Ashland CDP, California",23823,10548
"Aspen Springs CDP, California",70,3
"Atascadero city, California",29773,5850
"Atherton town, California",7188,484
"Atwater city, California",31970,19042
"Auberry CDP, California",3238,360
"Auburn city, California",13776,1693
"Auburn Lake Trails CDP, California",3388,297
"August CDP, California",8628,6591
"Avalon city, California",3460,1903
"Avenal city, California",13696,11545
"Avery CDP, California",636,55
"Avila Beach CDP, California",1576,158
"Avocado Heights CDP, California",13317,10638
"Azusa city, California",50000,32020
"Baker CDP, California",442,345
"Bakersfield city, California",403455,212822
"Bakersfield Country Club CDP, California",1715,741
"Baldwin Park city, California",72176,53683
"Ballard CDP, California",768,154
"Ballico CDP, California",347,175
"Bangor CDP, California",695,82
"Banning city, California",29505,13427
"Barstow city, California",25415,11295
"Bass Lake CDP, California",575,68
"Bay Point CDP, California",23896,14904
