NAME,P9_001N,P9_002N,HISPANIC_PCT
Acalanes Ridge,1285,107,8.33
Acampo,334,191,57.19
Acton,7431,2076,27.94
Adelanto,38046,24158,63.5
Adin,205,10,4.88
Agoura Hills,20299,2319,11.42
Agua Dulce,3451,868,25.15
Aguanga,989,210,21.23
Ahwahnee,2296,262,11.41
Airport,1389,976,70.27
Alameda,78280,9435,12.05
Alamo,15314,1115,7.28
Albany,20271,2665,13.15
Albion,153,6,3.92
Alderpoint,137,22,16.06
Alhambra,82868,29910,36.09
Alhambra Valley,805,100,12.42
Aliso Viejo,52176,9836,18.85
Alleghany,30,2,6.67
Allendale,1651,285,17.26
Allensworth,531,494,93.03
Almanor,3,2,66.67
Alondra Park,8569,4204,49.06
Alpaugh,871,768,88.17
Alpine,14696,2688,18.29
Alpine Village,224,20,8.93
Alta,615,39,6.34
Altadena,42846,12171,28.41
Alta Sierra (Kern County),103,11,10.68
Alta Sierra (Nevada County),7204,576,8.0
Alto,732,57,7.79
Alturas,2715,415,15.29
Alum Rock,12042,8077,67.07
Amador City,200,21,10.5
Amador Pines,1118,91,8.14
American Canyon,21837,6705,30.7
Amesti,2637,1564,59.31
Anaheim,346824,186651,53.82
Anchor Bay,473,36,7.61
Anderson,11323,1587,14.02
Angels,3667,459,12.52
Angwin,2633,721,27.38
Antelope,48733,8389,17.21
Antioch,115291,41965,36.4
Anza,3075,931,30.28
Apple Valley,75791,28989,38.25
Aptos,6664,1063,15.95
Aptos Hills-Larkin Valley,2383,546,22.91
Arbuckle,3484,2560,73.48
Arcadia,56681,7401,13.06
Arcata,18857,3739,19.83
Arden-Arcade,94659,18521,19.57
Armona,4274,3176,74.31
Arnold,3288,291,8.85
Aromas,2708,1105,40.81
Arroyo Grande,18441,3646,19.77
Artesia,16395,5825,35.53
Artois,295,98,33.22
Arvin,19495,18317,93.96
Ashland,23823,10548,44.28
Aspen Springs,70,3,4.29
Atascadero,29773,5850,19.65
Atherton,7188,484,6.73
Atwater,31970,19042,59.56
Auberry,3238,360,11.12
Auburn,13776,1693,12.29
Auburn Lake Trails,3388,297,8.77
August,8628,6591,76.39
Avalon,3460,1903,55.0
Avenal,13696,11545,84.29
Avery,636,55,8.65
Avila Beach,1576,158,10.03
Avocado Heights,13317,10638,79.88
Azusa,50000,32020,64.04
