NAME,P9_001N,P9_002N,HISPANIC_PCT
Geographic Area Name,Total,Total:Hispanic or Latino,Hispanic or Latino Percentage
California,39538223,15579652,39.4
"Acalanes Ridge CDP, California",1285,107,8.33
"Acampo CDP, California",334,191,57.19
"Acton CDP, California",7431,2076,27.94
"Adelanto city, California",38046,24158,63.5
"Adin CDP, California",205,10,4.88
"Agoura Hills city, California",20299,2319,11.42
"Agua Dulce CDP, California",3451,868,25.15
"Aguanga CDP, California",989,210,21.23
"Ahwahnee CDP, California",2296,262,11.41
"Airport CDP, California",1389,976,70.27
"Alameda city, California",78280,9435,12.05
"Alamo CDP, California",15314,1115,7.28
"Albany city, California",20271,2665,13.15
"Albion CDP, California",153,6,3.92
"Alderpoint CDP, California",137,22,16.06
"Alhambra city, California",82868,29910,36.09
"Alhambra Valley CDP, California",805,100,12.42
"Aliso Viejo city, California",52176,9836,18.85
"Alleghany CDP, California",30,2,6.67
"Allendale CDP, California",1651,285,17.26
"Allensworth CDP, California",531,494,93.03
"Almanor CDP, California",3,2,66.67
"Alondra Park CDP, California",8569,4204,49.06
"Alpaugh CDP, California",871,768,88.17
"Alpine CDP, California",14696,2688,18.29
"Alpine Village CDP, California",224,20,8.93
"Alta CDP, California",615,39,6.34
"Altadena CDP, California",42846,12171,28.41
"Alta Sierra CDP (Kern County), California",103,11,10.68
"Alta Sierra CDP (Nevada County), California",7204,576,8.0
"Alto CDP, California",732,57,7.79
"Alturas city, California",2715,415,15.29
"Alum Rock CDP, California",12042,8077,67.07
"Amador City city, California",200,21,10.5
"Amador Pines CDP, California",1118,91,8.14
"American Canyon city, California",21837,6705,30.7
"Amesti CDP, California",2637,1564,59.31
"Anaheim city, California",346824,186651,53.82
"Anchor Bay CDP, California",473,36,7.61
"Anderson city, California",11323,1587,14.02
"Angels city, California",3667,459,12.52
"Angwin CDP, California",2633,721,27.38
"Antelope CDP, California",48733,8389,17.21
"Antioch city, California",115291,41965,36.4
"Anza CDP, California",3075,931,30.28
"Apple Valley town, California",75791,28989,38.25
"Aptos CDP, California",6664,1063,15.95
"Aptos Hills-Larkin Valley CDP, California",2383,546,22.91
"Arbuckle CDP, California",3484,2560,73.48
"Arcadia city, California",56681,7401,13.06
"Arcata city, California",18857,3739,19.83
"Arden-Arcade CDP, California",94659,18521,19.57
"Armona CDP, California",4274,3176,74.31
"Arnold CDP, California",3288,291,8.85
"Aromas CDP, California",2708,1105,40.81
"Arroyo Grande city, California",18441,3646,19.77
"Artesia city, California",16395,5825,35.53
"Artois CDP, California",295,98,33.22
"Arvin city, California",19495,18317,93.96
"Ashland CDP, California",23823,10548,44.28
"Aspen Springs CDP, California",70,3,4.29
"Atascadero city, California",29773,5850,19.65
"Atherton town, California",7188,484,6.73
"Atwater city, California",31970,19042,59.56
"Auberry CDP, California",3238,360,11.12
"Auburn city, California",13776,1693,12.29
"Auburn Lake Trails CDP, California",3388,297,8.77
"August CDP, California",8628,6591,76.39
"Avalon city, California",3460,1903,55.0
"Avenal city, California",13696,11545,84.29
"Avery CDP, California",636,55,8.65
"Avila Beach CDP, California",1576,158,10.03
"Avocado Heights CDP, California",13317,10638,79.88
"Azusa city, California",50000,32020,64.04
"Baker CDP, California",442,345,78.05
"Bakersfield city, California",403455,212822,52.75
"Bakersfield Country Club CDP, California",1715,741,43.21
"Baldwin Park city, California",72176,53683,74.38
"Ballard CDP, California",768,154,20.05
"Ballico CDP, California",347,175,50.43
"Bangor CDP, California",695,82,11.8
"Banning city, California",29505,13427,45.51
"Barstow city, California",25415,11295,44.44
"Bass Lake CDP, California",575,68,11.83
"Bay Point CDP, California",23896,14904,62.37
"Bayview CDP (Contra Costa County), California",1782,528,29.63
"Bayview CDP (Humboldt County), California",2619,465,17.75
"Baywood Park CDP, California",1693,96,5.67
"Beale AFB CDP, California",1303,215,16.5
"Bear Creek CDP, California",273,195,71.43
"Bear Valley CDP (Alpine County), California",128,6,4.69
"Bear Valley CDP (Mariposa County), California",156,34,21.79
"Bear Valley Springs CDP, California",5592,693,12.39
"Beaumont city, California",53036,22546,42.51
"Beckwourth CDP, California",478,39,8.16
"Belden CDP, California",15,6,40.0
"Bell city, California",33559,31392,93.54
"Bella Vista CDP, California",3641,254,6.98
"Bell Canyon CDP, California",1946,177,9.1
"Bellflower city, California",79190,45250,57.14
"Bell Gardens city, California",39501,37994,96.18
"Belmont city, California",28335,3523,12.43
"Belvedere city, California",2126,109,5.13
"Benbow CDP, California",422,48,11.37
"Bend CDP, California",603,58,9.62
"Benicia city, California",27131,4008,14.77
"Ben Lomond CDP, California",6337,674,10.64
"Benton CDP, California",279,37,13.26
"Benton Park CDP, California",5333,3765,70.6
"Berkeley city, California",124321,17018,13.69
"Bermuda Dunes CDP, California",8244,3170,38.45
"Berry Creek CDP, California",1637,117,7.15
"Bertsch-Oceanview CDP, California",2520,349,13.85
"Bethel Island CDP, California",2131,447,20.98
"Beverly Hills city, California",32701,2218,6.78
"Bieber CDP, California",266,53,19.92
"Big Bear City CDP, California",12738,2879,22.6
"Big Bear Lake city, California",5046,1205,23.88
"Big Bend CDP, California",79,5,6.33
"Big Creek CDP, California",151,12,7.95
"Biggs city, California",1964,778,39.61
"Big Lagoon CDP, California",161,25,15.53
"Big Pine CDP, California",1875,317,16.91
"Big River CDP, California",1084,167,15.41
"Biola CDP, California",1427,1243,87.11
"Bishop city, California",3819,1146,30.01
